id,index,Event Date,Pref_days,pref_times,pref_topic
6785453123,9,2024-06-06, Saturdays, 2pm - 4pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Saturdays, 12pm - 2pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Saturdays, 4pm - 6pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Saturdays, 6pm - 8pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Sundays,9am - 12pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Sundays, 2pm - 4pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Sundays, 12pm - 2pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Sundays, 4pm - 6pm,Matching companies and people who has required expertise
6785453123,9,2024-06-06, Sundays, 6pm - 8pm,Matching companies and people who has required expertise
6785480613,10,2024-06-06,Fridays,4pm - 6pm,Business ideas
6785515166,11,2024-06-06,Thursdays,4pm - 6pm,Entrepreneurship
6785515166,11,2024-06-06, Wednesdays,4pm - 6pm,Entrepreneurship
6785515166,11,2024-06-06, Tuesdays,4pm - 6pm,Entrepreneurship
6785524973,12,2024-06-06,Wednesdays,12pm - 2pm,Anything
6785529114,13,2024-06-06,Wednesdays,12pm - 2pm,Business
6785720449,14,2024-06-06,Thursdays,4pm - 6pm,Funding
6785720449,14,2024-06-06,Thursdays,4pm - 6pm, partnership
6785720449,14,2024-06-06,Thursdays, 2pm - 4pm,Funding
6785720449,14,2024-06-06,Thursdays, 2pm - 4pm, partnership
6785720449,14,2024-06-06,Thursdays, 6pm - 8pm,Funding
6785720449,14,2024-06-06,Thursdays, 6pm - 8pm, partnership
6785720449,14,2024-06-06, Wednesdays,4pm - 6pm,Funding
6785720449,14,2024-06-06, Wednesdays,4pm - 6pm, partnership
6785720449,14,2024-06-06, Wednesdays, 2pm - 4pm,Funding
6785720449,14,2024-06-06, Wednesdays, 2pm - 4pm, partnership
6785720449,14,2024-06-06, Wednesdays, 6pm - 8pm,Funding
6785720449,14,2024-06-06, Wednesdays, 6pm - 8pm, partnership
6785720449,14,2024-06-06, Tuesdays,4pm - 6pm,Funding
6785720449,14,2024-06-06, Tuesdays,4pm - 6pm, partnership
6785720449,14,2024-06-06, Tuesdays, 2pm - 4pm,Funding
6785720449,14,2024-06-06, Tuesdays, 2pm - 4pm, partnership
6785720449,14,2024-06-06, Tuesdays, 6pm - 8pm,Funding
6785720449,14,2024-06-06, Tuesdays, 6pm - 8pm, partnership
7270692924,15,2024-08-21,Tuesdays,6pm - 8pm,Software related
7270692924,15,2024-08-21, Wednesdays,6pm - 8pm,Software related
7270692924,15,2024-08-21, Thursdays,6pm - 8pm,Software related
7305850247,16,2024-08-27,Thursdays,2pm - 4pm,Entrepreneurship
7305850247,16,2024-08-27,Thursdays,2pm - 4pm, invoicing
7305850247,16,2024-08-27,Thursdays,2pm - 4pm, startup life
7415643697,17,2024-09-12,Mondays,9am - 12pm,Start ip
7415653430,18,2024-09-12,Tuesdays,9am - 12pm,Startups
7415653430,18,2024-09-12,Tuesdays,9am - 12pm, Entrepreneurs
7415669984,19,2024-09-12,Fridays,9am - 12pm,Beginig of startup
7415673883,20,2024-09-12,Thursdays,9am - 12pm,Knowledge exchanges and networking
7415708489,21,2024-09-12,Fridays,4pm - 6pm,startup creation stories
7415708489,21,2024-09-12, Saturdays,4pm - 6pm,startup creation stories
7415716921,22,2024-09-12,Thursdays,4pm - 6pm,Networking
7416480639,23,2024-09-12,Thursdays,12pm - 2pm,Technology
7419107040,24,2024-09-12,Wednesdays,4pm - 6pm,Entrepreneurship journey
