id,Gender,Have you previously attended any events organized by Tribe?,What day of the week are most convenient for you to attend events?,During which time(s) of the day are you most likely to attend events?,What topics would you be most interested in discussing or learning about during Tribe events?,"Would you like to see more gender focused events (e.g. female entrepreneurship, including discussions with female founders and women in business)",Do you feel that event advertisements are relevant to your interests and needs as a member of your gender group,What improvements or changes would encourage you to attend Tribe events more frequently? (Open-ended)?,Event Date_x,Year,Month,Month_name,index,Event Date_y,Pref_days_cleaned,pref_times_cleaned,pref_topic,final_category
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Saturdays,4pm - 6pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Saturdays,6pm - 8pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Sundays,9am - 12pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Sundays,4pm - 6pm,Any topic,uncategorized
6731154293,Male,Yes,"Mondays, Thursdays, Fridays, Saturdays, Sundays","9am - 12pm, 4pm - 6pm, 6pm - 8pm",Any topic,Yes,Yes,Nothing in mind,2024-05-28,2024,5,May,4,2024-05-28,Sundays,6pm - 8pm,Any topic,uncategorized
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Mondays,12pm - 2pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Mondays,2pm - 4pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Mondays,4pm - 6pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Tuesdays,12pm - 2pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Tuesdays,2pm - 4pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Tuesdays,4pm - 6pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Wednesdays,12pm - 2pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Wednesdays,2pm - 4pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Wednesdays,4pm - 6pm,Anything related to UX designs and cool ideas,ux & design
6731178091,Female,Yes,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","12pm - 2pm, 2pm - 4pm, 4pm - 6pm",Anything related to UX designs and cool ideas,I'm indifferent,I'm indifferent,"I don't know, haven't been here long enough to complain",2024-05-28,2024,5,May,5,2024-05-28,Thursdays,12pm - 2pm,Anything related to UX designs and cool ideas,ux & design
